3.622307108	1
3.697759876	2
3.8950907139999993	3
3.9405589139999995	4
3.9528669790000004	5
3.9558387149999996	6
3.969228801999999	7
3.9695715930000004	8
3.9792366859999992	9
3.9811085139999998	10
3.9891535399999993	11
3.994361195999999	12
3.9954091590000003	13
4.035882524999999	14
4.338216095999999	15
4.3385655430000005	16
4.633760168999999	17
4.634684852	18
4.643475872999999	19
4.645699144999999	20
4.668926365	21
4.682997005	22
4.730273518	23
4.743822021999999	24
8.926483512	25
9.243946051999998	26
19.555754262999997	27
19.594544193999997	28
20.100579875999998	29
20.272453383	30
20.292254992	31
20.333888245999997	32
20.984550590999998	33
22.877650234999997	34
24.787163747999998	35
24.919892967	36
26.489868275	37
52.445629188	38
60.725442071	39
