90.077736506	1
98.05588056	2
100.513100645	3
100.892326822	4
102.909823849	5
103.134060159	6
106.318771239	7
107.255165282	8
107.978022195	9
109.456064825	10
109.55872856799999	11
110.181777306	12
110.937717084	13
111.04291326799999	14
111.071225599	15
111.101750909	16
112.532051755	17
112.927327234	18
112.963117677	19
115.224062841	20
116.025637955	21
116.328657385	22
117.590936705	23
117.668387453	24
118.075855719	25
119.055943232	26
119.233291971	27
119.666128966	28
120.99263805	29
121.072633012	30
122.721276891	31
124.687677673	32
127.011868429	33
128.345851148	34
131.032017785	35
132.579984077	36
134.533700902	37
135.81392562	38
136.686795545	39
137.214827613	40
137.422786387	41
